# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.451200834176E-001  1.185774374655E-002  8.961573726700E-004 -5.629667351608E-003 -1.544420589995E-002
  9.570515407237E-001  1.200555035216E-002  8.279436038632E-004 -5.799968872356E-003 -1.311267277172E-002
  9.691319506484E-001  1.215565657299E-002  7.569770471130E-004 -5.944439374128E-003 -1.081663176044E-002
  9.813636357544E-001  1.230810848498E-002  6.835140496251E-004 -6.062881639103E-003 -8.561871264520E-003
  9.937489652293E-001  1.246295326757E-002  6.078235229090E-004 -6.155170798684E-003 -6.353974152029E-003
  1.006290356005E+000  1.262023923477E-002  5.301864691130E-004 -6.221255364610E-003 -4.198306344792E-003
  1.018990273907E+000  1.278001586715E-002  4.508954530289E-004 -6.261158095237E-003 -2.100005608839E-003
  1.031851234841E+000  1.294233384499E-002  3.702540187351E-004 -6.274976686412E-003 -6.397058728869E-005
  1.044875806003E+000  1.310724508236E-002  2.885760505618E-004 -6.262884277324E-003  1.905149885287E-003
  1.058066607138E+000  1.327480276248E-002  2.061850775776E-004 -6.225129761095E-003  3.802967147021E-003
  1.071426311823E+000  1.344506137405E-002  1.234135212673E-004 -6.162037890268E-003  5.625362710866E-003
  1.084957648792E+000  1.361807674895E-002  4.060188643651E-005 -6.074009167470E-003  7.368497862395E-003
  1.098663403298E+000  1.379390610110E-002 -4.190210484145E-005 -5.961519511697E-003  9.028822809714E-003
  1.112546418516E+000  1.397260806657E-002 -1.237444353381E-004 -5.825119690734E-003  1.060308534225E-002
  1.126609596985E+000  1.415424274514E-002 -2.045657707801E-004 -5.665434511222E-003  1.208833895262E-002
