# Reference      Predicted      Error          #atoms         
-61.46852       -60.70468       0.76383         10.00000       
-61.46114       -60.64473       0.81641         10.00000       
-61.45390       -60.83642       0.61749         10.00000       
-61.48563       -60.80752       0.67811         10.00000       
-61.39931       -60.84623       0.55308         10.00000       
-61.36156       -60.49421       0.86734         10.00000       
-61.40010       -60.81604       0.58406         10.00000       
-61.52317       -60.54942       0.97375         10.00000       
-61.53290       -60.73225       0.80065         10.00000       
-61.49466       -60.54614       0.94852         10.00000       
-61.54388       -60.44635       1.09753         10.00000       
-61.56416       -60.44605       1.11811         10.00000       
-61.48186       -60.51399       0.96787         10.00000       
-61.52996       -60.59052       0.93944         10.00000       
-61.44760       -60.70660       0.74101         10.00000       
-61.53540       -60.70503       0.83037         10.00000       
-61.48868       -60.78574       0.70295         10.00000       
-61.48322       -60.97040       0.51282         10.00000       
-61.42191       -60.91455       0.50736         10.00000       
-61.45681       -60.92763       0.52918         10.00000       
-61.37146       -60.89917       0.47229         10.00000       
-61.50757       -60.65377       0.85380         10.00000       
-61.62520       -60.63056       0.99464         10.00000       
-61.50711       -60.64240       0.86471         10.00000       
-61.42166       -60.65500       0.76665         10.00000       
-61.52535       -60.90433       0.62102         10.00000       
-61.46005       -60.84743       0.61261         10.00000       
-61.51642       -60.79847       0.71795         10.00000       
-61.52203       -60.66097       0.86106         10.00000       
-61.45898       -60.62977       0.82922         10.00000       
-61.48204       -60.63995       0.84208         10.00000       
-61.42638       -60.65162       0.77475         10.00000       
-61.37596       -60.63288       0.74309         10.00000       
-61.37023       -60.62517       0.74505         10.00000       
-61.39375       -60.62636       0.76740         10.00000       
-61.37593       -60.64734       0.72859         10.00000       
-61.49782       -60.53781       0.96000         10.00000       
-61.58109       -60.61304       0.96804         10.00000       
-61.52623       -60.61730       0.90894         10.00000       
-61.48546       -60.65447       0.83098         10.00000       
-61.46111       -60.62953       0.83158         10.00000       
-61.60367       -60.62659       0.97708         10.00000       
-61.58014       -60.76807       0.81207         10.00000       
-61.59068       -60.78591       0.80478         10.00000       
-61.42392       -60.78172       0.64220         10.00000       
-61.49536       -60.77177       0.72359         10.00000       
-61.53227       -60.35049       1.18178         10.00000       
-61.47003       -60.55343       0.91660         10.00000       
-61.49023       -60.59183       0.89840         10.00000       
-61.40935       -60.61889       0.79046         10.00000       
-61.47525       -60.67773       0.79752         10.00000       
-61.51828       -60.69664       0.82164         10.00000       
-61.46942       -60.81544       0.65398         10.00000       
-61.46215       -60.89332       0.56883         10.00000       
-61.50614       -60.79466       0.71148         10.00000       
-61.40707       -60.94285       0.46422         10.00000       
-61.42909       -60.39102       1.03806         10.00000       
-61.50366       -60.71270       0.79096         10.00000       
-61.43638       -60.42376       1.01263         10.00000       
-61.54633       -60.69626       0.85007         10.00000       
-61.50567       -60.81271       0.69295         10.00000       
-61.60618       -60.65016       0.95602         10.00000       
-61.46814       -60.61138       0.85676         10.00000       
-61.62048       -60.67955       0.94093         10.00000       
-61.56735       -60.92052       0.64682         10.00000       
-61.52698       -60.64512       0.88186         10.00000       
-61.57438       -60.88393       0.69045         10.00000       
-61.42360       -60.78670       0.63690         10.00000       
-61.49573       -60.89118       0.60455         10.00000       
-61.51448       -60.61130       0.90318         10.00000       
-61.51192       -60.16875       1.34318         10.00000       
-61.41509       -60.90214       0.51295         10.00000       
-61.45290       -60.91177       0.54114         10.00000       
-61.40258       -60.52423       0.87835         10.00000       
-61.42229       -60.33309       1.08920         10.00000       
-61.43320       -60.40058       1.03262         10.00000       
-61.44421       -60.50284       0.94137         10.00000       
-61.51429       -60.60608       0.90822         10.00000       
-61.49492       -60.65649       0.83843         10.00000       
-61.45054       -60.73896       0.71158         10.00000       
-61.41183       -60.80988       0.60195         10.00000       
-62.44413       -63.05735       0.61322         11.00000       
-62.48423       -63.05286       0.56864         11.00000       
-62.55421       -63.04356       0.48936         11.00000       
-62.56386       -63.04848       0.48462         11.00000       
-62.57609       -63.05594       0.47986         11.00000       
-61.89087       -61.34399       0.54688         11.00000       
-61.96753       -63.25077       1.28324         11.00000       
-63.17205       -62.76357       0.40848         11.00000       
-62.60203       -63.06516       0.46313         11.00000       
-62.60095       -63.06484       0.46389         11.00000       
-61.63121       -60.45688       1.17433         11.00000       
-62.60573       -63.06618       0.46046         11.00000       
-61.97865       -61.75344       0.22521         11.00000       
-62.05337       -62.22778       0.17441         11.00000       
-62.06084       -62.28880       0.22796         11.00000       
-63.53912       -62.78368       0.75543         11.00000       
-61.73278       -61.44697       0.28580         11.00000       
-61.14104       -63.30118       2.16014         11.00000       
-62.25757       -62.30466       0.04709         11.00000       
-63.54093       -62.78375       0.75718         11.00000       
-63.54432       -62.78074       0.76358         11.00000       
-63.55989       -62.77227       0.78762         11.00000       
-63.56150       -62.77262       0.78888         11.00000       
-63.57705       -62.77860       0.79845         11.00000       
-63.57911       -62.77948       0.79963         11.00000       
-63.58692       -62.78027       0.80666         11.00000       
-63.58474       -62.78024       0.80450         11.00000       
-62.46780       -63.05894       0.59114         11.00000       
-62.49939       -63.06340       0.56401         11.00000       
-62.08956       -63.07915       0.98959         11.00000       
-62.50769       -63.06264       0.55495         11.00000       
-62.63033       -63.07946       0.44913         11.00000       
-62.61165       -63.06574       0.45409         11.00000       
-62.60973       -63.06516       0.45543         11.00000       
-62.61051       -63.06476       0.45426         11.00000       
-62.63855       -63.08972       0.45116         11.00000       
-62.61225       -63.06647       0.45422         11.00000       
-62.61567       -63.06786       0.45220         11.00000       
-62.61241       -63.06654       0.45413         11.00000       
-62.61648       -63.06926       0.45278         11.00000       
-62.61853       -63.07155       0.45302         11.00000       
-62.62131       -63.07466       0.45335         11.00000       
-62.62350       -63.07370       0.45020         11.00000       
-62.63075       -63.08069       0.44994         11.00000       
-62.63214       -63.08388       0.45173         11.00000       
-62.63802       -63.08780       0.44978         11.00000       
-62.62599       -63.07276       0.44677         11.00000       
-62.63908       -63.08988       0.45079         11.00000       
-62.63905       -63.09192       0.45287         11.00000       
-62.63901       -63.09240       0.45339         11.00000       
-62.63855       -63.09510       0.45655         11.00000       
-62.63801       -63.09316       0.45515         11.00000       
-62.63634       -63.09119       0.45485         11.00000       
-62.63795       -63.09292       0.45497         11.00000       
-59.62238       -62.91184       3.28946         11.00000       
-62.63512       -63.09962       0.46450         11.00000       
-59.43720       -62.95523       3.51803         11.00000       
-62.63503       -63.10006       0.46503         11.00000       
-62.63494       -63.10037       0.46543         11.00000       
-62.63449       -63.10138       0.46689         11.00000       
-62.63459       -63.10128       0.46669         11.00000       
-62.62546       -63.10087       0.47541         11.00000       
-62.63372       -63.10125       0.46753         11.00000       
-62.63395       -63.10149       0.46753         11.00000       
-62.62284       -63.09383       0.47098         11.00000       
-62.63362       -63.10108       0.46746         11.00000       
-62.62689       -63.09859       0.47169         11.00000       
-62.63305       -63.09909       0.46605         11.00000       
-62.62674       -63.09895       0.47221         11.00000       
-62.62850       -63.09942       0.47092         11.00000       
-62.63066       -63.09618       0.46551         11.00000       
-62.63021       -63.09731       0.46710         11.00000       
-62.62592       -63.10038       0.47446         11.00000       
-62.62378       -63.09748       0.47370         11.00000       
-62.62357       -63.09833       0.47476         11.00000       
-62.62317       -63.09546       0.47229         11.00000       
-62.62292       -63.09576       0.47284         11.00000       
-62.62319       -63.09539       0.47219         11.00000       
-62.62351       -63.09323       0.46973         11.00000       
-62.62382       -63.09052       0.46670         11.00000       
-62.62628       -63.08214       0.45586         11.00000       
-62.62556       -63.08640       0.46084         11.00000       
-62.62464       -63.08729       0.46265         11.00000       
-62.62693       -63.08092       0.45399         11.00000       
-59.64717       -62.90567       3.25850         11.00000       
-59.16024       -63.00127       3.84104         11.00000       
-62.62702       -63.08117       0.45415         11.00000       
-62.62780       -63.08002       0.45222         11.00000       
-62.62798       -63.07947       0.45150         11.00000       
-62.62837       -63.07722       0.44886         11.00000       
-62.62880       -63.07311       0.44431         11.00000       
-62.63856       -63.07120       0.43265         11.00000       
-62.62921       -63.07133       0.44212         11.00000       
-62.63628       -63.07526       0.43898         11.00000       
-62.62939       -63.07155       0.44216         11.00000       
-62.62963       -63.07227       0.44263         11.00000       
-62.63407       -63.07102       0.43695         11.00000       
-62.63436       -63.07153       0.43717         11.00000       
-62.63024       -63.07294       0.44270         11.00000       
-62.63803       -63.07248       0.43444         11.00000       
